,user,notifications_viewed_three_weeks_ago,notifications_viewed_four_weeks_ago,notifications_viewed_two_weeks_ago,notifications_viewed_one_week_ago,notifications_viewed_zero_weeks_ago,v1,simulado_delayed_amount,simulado_incompleted_amount,notes_delayed_amount
0,11,0,0,9,0,9,0.0,4.0,52.0,152.0
1,12,5,5,1,1,0,4.0,0.0,0.0,1.0
2,13,9,4,2,6,1,6.5,0.0,0.0,10.0
3,14,6,3,6,1,3,6.5,0.0,0.0,0.0
4,15,7,0,12,3,1,6.0,0.0,0.0,38.0
5,16,3,3,5,13,3,6.0,1.0,0.0,26.0
6,17,7,1,0,0,32,0.5,2.0,0.0,158.0
7,18,5,5,0,0,3,1.5,1.0,0.0,26.0
8,19,0,4,3,0,0,7.5,0.0,0.0,46.0
9,20,5,4,1,1,1,2.0,0.0,0.0,4.0
10,21,1,2,1,0,0,9.5,0.0,0.0,0.0
11,22,11,0,8,3,3,3.5,0.0,0.0,10.0
12,23,10,4,5,0,0,8.0,0.0,0.0,8.0
13,24,7,5,5,2,0,6.0,1.0,0.0,8.0
14,25,4,7,3,2,0,7.5,0.0,0.0,1.0
15,26,2,6,3,8,0,6.25,0.0,0.0,14.0
16,27,6,5,4,0,0,4.0,0.0,0.0,4.0
17,28,3,4,2,0,0,1.5,2.0,0.0,122.0
18,29,0,4,6,0,0,1.0,4.0,62.0,264.0
19,30,7,0,7,0,8,3.0,2.0,3.0,189.0
20,31,8,4,5,9,5,4.0,0.0,0.0,7.0
21,32,7,3,2,2,0,8.0,0.0,0.0,8.0
22,33,2,5,4,0,0,8.5,0.0,0.0,3.0
23,34,7,4,18,0,18,0.5,1.0,0.0,309.0
24,35,3,3,3,2,0,6.0,0.0,0.0,1.0
25,36,4,5,3,0,0,2.5,0.0,0.0,2.0
26,37,4,4,5,1,1,5.5,0.0,0.0,3.0
27,38,7,5,4,1,3,4.5,0.0,0.0,2.0
28,39,5,5,3,1,0,7.0,0.0,0.0,4.0
29,40,0,0,0,0,0,0.0,4.0,62.0,355.0
30,41,4,5,0,0,6,4.5,2.0,0.0,178.0
31,42,3,5,3,0,0,4.5,0.0,0.0,0.0
32,43,9,4,5,0,15,0.5,0.0,0.0,167.0
33,44,4,6,3,0,0,2.0,0.0,0.0,1.0
34,45,14,0,10,2,1,2.0,1.0,0.0,29.0
35,46,6,0,4,0,16,4.0,3.0,0.0,111.0
36,47,8,7,3,3,0,7.0,0.0,0.0,1.0
37,48,3,5,1,0,0,10.0,0.0,0.0,0.0
38,49,2,6,5,5,0,1.0,0.0,0.0,37.0
39,50,6,0,0,0,8,2.25,4.0,62.0,98.0
40,51,14,4,5,0,4,8.0,0.0,0.0,6.0
41,52,8,0,9,0,5,7.5,3.0,0.0,128.0
42,53,12,3,11,1,1,5.5,1.0,0.0,16.0
43,54,5,6,4,2,0,10.0,0.0,0.0,4.0
44,55,3,4,3,0,0,10.0,0.0,0.0,1.0
45,56,0,0,0,0,21,2.5,1.0,0.0,255.0
46,57,2,0,1,0,1,8.0,0.0,0.0,3.0
47,58,2,0,0,0,6,6.0,1.0,0.0,37.0
48,59,8,0,4,2,4,5.25,1.0,0.0,16.0
49,60,4,4,1,0,0,7.0,0.0,0.0,2.0
50,61,1,9,1,0,1,9.0,0.0,0.0,5.0
51,62,0,6,1,1,0,8.0,0.0,0.0,0.0
52,63,8,0,0,11,2,0.0,3.0,0.0,92.0
53,64,2,5,4,0,1,5.0,1.0,0.0,0.0
54,65,16,4,7,0,3,8.5,0.0,0.0,17.0
55,66,9,5,14,3,0,5.5,0.0,0.0,45.0
56,67,4,11,2,2,0,5.0,0.0,0.0,3.0
57,68,3,2,0,0,0,0.0,2.0,22.0,220.0
58,69,0,0,0,0,5,6.5,0.0,0.0,111.0
59,70,5,5,3,2,1,7.0,1.0,0.0,4.0
60,71,2,1,3,0,1,7.5,2.0,0.0,1.0
61,72,0,0,12,0,5,0.0,2.0,40.0,128.0
62,73,6,4,6,1,1,4.5,0.0,0.0,16.0
63,74,5,4,3,0,6,8.0,4.0,25.0,83.0
64,75,12,0,7,2,6,8.75,1.0,0.0,20.0
65,76,7,0,3,0,8,7.5,2.0,0.0,21.0
66,77,5,5,2,0,0,6.5,0.0,0.0,2.0
67,78,8,0,0,0,20,3.0,3.0,0.0,201.0
68,79,8,0,2,0,4,8.5,1.0,0.0,7.0
69,80,9,0,0,0,5,8.0,1.0,0.0,19.0
70,81,3,6,5,2,0,6.5,0.0,0.0,0.0
71,82,8,3,7,1,2,8.0,0.0,0.0,7.0
72,83,4,5,4,0,0,8.5,0.0,0.0,8.0
73,84,0,0,9,0,0,3.5,1.0,0.0,56.0
74,85,4,2,4,2,3,6.5,0.0,0.0,0.0
75,86,5,1,0,0,0,8.5,0.0,0.0,4.0
76,87,11,5,1,4,0,10.0,0.0,0.0,29.0
77,88,1,7,0,0,0,2.0,0.0,0.0,0.0
